	planar150             
             150
             850
            2239
       1      58        3042         306
      58       1        3042         306
       1     125        1746         384
     125       1        1746         384
       1     135         401         289
     135       1         401         289
       1     139         881         224
     139       1         881         224
       1     141        1769         235
     141       1        1769         235
       2      42        2353         273
      42       2        2353         273
       2      73        3170         186
      73       2        3170         186
       2      80       11665         258
      80       2       11665         258
       2      82        4562         370
      82       2        4562         370
       2     112        3492         360
     112       2        3492         360
       2     144        5297         173
     144       2        5297         173
       3      78        1872         191
      78       3        1872         191
       3      99         962         422
      99       3         962         422
       3     113        1717         276
     113       3        1717         276
       3     134         356         224
     134       3         356         224
       4      41         949         374
      41       4         949         374
       4      46        7376         251
      46       4        7376         251
       4      63        4490         234
      63       4        4490         234
       4      99       15952         303
      99       4       15952         303
       4     103        1360         222
     103       4        1360         222
       4     121        5338         270
     121       4        5338         270
       5      15        1073         192
      15       5        1073         192
       5      97          68         328
      97       5          68         328
       5     148        3202         324
     148       5        3202         324
       6      49         842         385
      49       6         842         385
       6      51        2153         302
      51       6        2153         302
       6      86        7252         278
      86       6        7252         278
       6      90         877         450
      90       6         877         450
       7      47        1189         329
      47       7        1189         329
       7      71        1381         298
      71       7        1381         298
       7     129        1570         358
     129       7        1570         358
       8      48        2797         289
      48       8        2797         289
       8      55        2749         268
      55       8        2749         268
       8      57        7085         405
      57       8        7085         405
       8     138       10034         320
     138       8       10034         320
       9      28        3701         293
      28       9        3701         293
       9      56       10909         388
      56       9       10909         388
       9      66        5882         442
      66       9        5882         442
       9      83        1226         430
      83       9        1226         430
       9      92        5760         203
      92       9        5760         203
       9      94         965         247
      94       9         965         247
       9     150        5437         342
     150       9        5437         342
      10     101         360         289
     101      10         360         289
      10     113        2353         297
     113      10        2353         297
      10     128         916         448
     128      10         916         448
      11      39         125         367
      39      11         125         367
      11      63        1378         236
      63      11        1378         236
      11     106        2440         377
     106      11        2440         377
      12      14        3089         385
      14      12        3089         385
      12      55        3205         404
      55      12        3205         404
      12      57          45         267
      57      12          45         267
      13      17         173         264
      17      13         173         264
      13     112         586         364
     112      13         586         364
      13     144        1313         454
     144      13        1313         454
      14      55         706         239
      55      14         706         239
      14      57        3560         324
      57      14        3560         324
      14      78        2329         254
      78      14        2329         254
      14     113        5000         424
     113      14        5000         424
      15      62        1960         449
      62      15        1960         449
      15      64        4640         373
      64      15        4640         373
      15      75        2516         419
      75      15        2516         419
      15      97        1125         365
      97      15        1125         365
      15     132        8658         275
     132      15        8658         275
      15     148        6197         260
     148      15        6197         260
      16      27        2920         280
      27      16        2920         280
      16      41        2000         238
      41      16        2000         238
      16      46        3341         373
      46      16        3341         373
      16      84        4217         182
      84      16        4217         182
      17      45          68         251
      45      17          68         251
      17      56        4261         351
      56      17        4261         351
      17     112         293         353
     112      17         293         353
      17     122        3365         168
     122      17        3365         168
      17     123        4745         173
     123      17        4745         173
      17     144        2196         253
     144      17        2196         253
      18      23        2754         326
      23      18        2754         326
      18      52        3898         315
      52      18        3898         315
      18     118         265         300
     118      18         265         300
      18     129        5300         447
     129      18        5300         447
      19      99        1013         449
      99      19        1013         449
      19     113         466         263
     113      19         466         263
      19     128        7465         198
     128      19        7465         198
      19     134         333         220
     134      19         333         220
      20      53       44829         173
      53      20       44829         173
      20      74        4357         427
      74      20        4357         427
      20      75        7218         341
      75      20        7218         341
      20      88       12905         427
      88      20       12905         427
      20      97       10565         269
      97      20       10565         269
      20     120       15529         297
     120      20       15529         297
      20     148       21709         160
     148      20       21709         160
      21      27        3625         374
      27      21        3625         374
      21      42        3944         371
      42      21        3944         371
      21      46       10368         161
      46      21       10368         161
      21      73        2601         208
      73      21        2601         208
      21     102        1657         197
     102      21        1657         197
      21     124        8458         245
     124      21        8458         245
      22      65         100         260
      65      22         100         260
      22      93         745         275
      93      22         745         275
      22     117         857         441
     117      22         857         441
      22     130         706         387
     130      22         706         387
      23      52        3664         238
      52      23        3664         238
      23      59        4936         166
      59      23        4936         166
      23      61        9220         310
      61      23        9220         310
      23     116       13941         255
     116      23       13941         255
      23     118        4297         245
     118      23        4297         245
      23     140        3653         400
     140      23        3653         400
      24      33       19645         377
      33      24       19645         377
      24      34        7208         280
      34      24        7208         280
      24      40        1417         461
      40      24        1417         461
      24      74       25325         279
      74      24       25325         279
      24      88       26253         355
      88      24       26253         355
      24     109        1693         222
     109      24        1693         222
      24     120       20005         431
     120      24       20005         431
      24     143        2756         177
     143      24        2756         177
      25      71        5449         257
      71      25        5449         257
      25      98      189032         318
      98      25      189032         318
      25     110       12346         393
     110      25       12346         393
      25     115         980         377
     115      25         980         377
      25     118       21101         358
     118      25       21101         358
      25     129       14642         354
     129      25       14642         354
      26      47       65026         229
      47      26       65026         229
      26      79        5953         428
      79      26        5953         428
      26      96         800         292
      96      26         800         292
      26     105        8917         236
     105      26        8917         236
      26     145       23440         165
     145      26       23440         165
      26     146        5330         309
     146      26        5330         309
      27      42        1885         369
      42      27        1885         369
      27      46        7225         378
      46      27        7225         378
      27      82        4338         423
      82      27        4338         423
      27      84        3709         339
      84      27        3709         339
      28      83        3217         323
      83      28        3217         323
      28      84        4825         375
      84      28        4825         375
      28     103        5585         441
     103      28        5585         441
      28     150         196         466
     150      28         196         466
      29      58         464         181
      58      29         464         181
      29     112        3362         345
     112      29        3362         345
      29     119        1466         315
     119      29        1466         315
      29     125         788         370
     125      29         788         370
      29     136         976         392
     136      29         976         392
      30      44          61         222
      44      30          61         222
      30      66        2000         259
      66      30        2000         259
      30      70        4586         355
      70      30        4586         355
      30      86        4329         441
      86      30        4329         441
      30     111        6845         422
     111      30        6845         422
      30     147        2218         430
     147      30        2218         430
      30     149        2129         324
     149      30        2129         324
      31      63       14170         477
      63      31       14170         477
      31      78        1882         429
      78      31        1882         429
      31      99        7592         434
      99      31        7592         434
      31     106       10816         323
     106      31       10816         323
      31     138          82         363
     138      31          82         363
      32      48       34549         339
      48      32       34549         339
      32      98          90         216
      98      32          90         216
      32     106        3770         257
     106      32        3770         257
      32     138       14312         350
     138      32       14312         350
      33      38        5140         309
      38      33        5140         309
      33      50        2929         366
      50      33        2929         366
      33      76        4420         370
      76      33        4420         370
      33      87        5402         364
      87      33        5402         364
      33      88        5956         379
      88      33        5956         379
      34      38        1973         353
      38      34        1973         353
      34      61       13481         385
      61      34       13481         385
      34      89        2770         181
      89      34        2770         181
      34     116       12064         417
     116      34       12064         417
      34     143        6148         398
     143      34        6148         398
      35      51        1601         196
      51      35        1601         196
      35      90        2545         338
      90      35        2545         338
      35      98        5077         423
      98      35        5077         423
      35     106        4901         371
     106      35        4901         371
